Date,FTSE Developed AWD (benchmark),RAISE,RAISE + Mom Leaders,RAISE + Low Vol Leaders
2004-12-31,0.037718477627408875,0.014253171553318289,0.009387012075880774,0.015185944882060598
2005-01-31,-0.021817962930545942,-0.0012259447399307621,0.002047413547365373,-0.0031612438590781222
2005-02-28,0.0318941852880108,0.08971761871835526,0.11936635544369456,0.09766311247419379
2005-03-31,-0.018794182970091722,-0.021945815811916902,-0.025696332616714113,-0.025893286148183425
2005-04-30,-0.02084589471303855,-0.020996802937246373,-0.02514107459643722,-0.01775397614323937
2005-05-31,0.020316076837669783,0.009964198385470135,0.010589602410250087,0.009210620101995248
2005-06-30,0.010220096281947866,0.05239037199206509,0.05935450344518656,0.04966147013655231
2005-07-31,0.035875325518406775,0.043063676621124536,0.043082174927210115,0.034193068367838864
2005-08-31,0.0075957728623454734,0.03922946705065611,0.0491136016451128,0.034307050349475565
2005-09-30,0.02484179453498303,0.052972024159831266,0.0569985657325105,0.04580581192756794
2005-10-31,-0.022963100077938114,-0.0701692323737313,-0.07884595511118464,-0.0713373260797433
2005-11-30,0.032775380782314345,0.021553388269219376,0.018907941206789625,0.01662976009365469
2005-12-31,0.02160618966249217,0.031181859320055016,0.03938380209778458,0.012134495844893678
2006-01-31,0.0450203935004041,0.09507160098632284,0.11173378318841731,0.09158970040829906
2006-02-28,-0.0005183361786317287,-0.032532554881623654,-0.04172036317451322,-0.02617851092834944
2006-03-31,0.023138671718925474,0.028109837504038726,0.04455897500551664,0.024695858685486405
2006-04-30,0.03017274531776848,0.04869148294224934,0.05028250019177127,0.04965806321803856
