Date,FTSE_AWD,RAISE,RAISE_Mom,RAISE_LowVol
2015-04-27,245.091291383114,305.44466943927506,322.9760866680602,323.27943605795525
2015-04-28,245.36518630332657,307.10908484245635,323.66273413095894,324.4640366224704
2015-04-29,244.37947890258226,306.5189219509842,321.85735236718506,323.17270685295153
2015-04-30,242.05276109922121,304.0722930710719,318.32210467724684,320.5596289938649
2015-05-01,243.19739364978358,304.63709874141506,319.26789225797546,321.2126465045313
2015-05-04,243.70367014605753,305.05613938879173,320.55703617997085,321.6734005590329
2015-05-05,241.4595209491263,302.2498030553839,316.28743386759135,318.8149199844567
2015-05-06,241.4047578592667,301.9540569176597,315.8246194390999,318.69724361963733
2015-05-07,240.95403419881026,299.1383427846505,315.2454337691529,316.3809219277292
2015-05-08,244.37195375207043,303.19816305023,318.6042749769664,320.59093308013405
2015-05-11,243.7461784651242,301.545605844846,317.3207578779621,318.46148132288545
2015-05-12,243.21311951987477,301.6908623810986,316.4196395222442,318.30226081922393
2015-05-13,244.03394446758853,302.00155450416804,316.0773474315039,318.0179356944587
2015-05-14,245.89382926728803,303.07468060429744,317.68201496282154,319.88517855927444
2015-05-15,246.42938358761938,304.5596476502338,321.026238062733,321.9270548850565
2015-05-18,246.71050698014778,303.5606979109844,320.6733211214817,320.8031308066502
2015-05-19,246.11085573781435,300.96697396683305,319.78902745954974,319.0428789723296
2015-05-20,246.1744708850044,301.2936590552613,319.56444354322747,318.77033708342066
2015-05-21,247.0625957093258,302.7854086285448,319.95671492162904,320.33099430626106
2015-05-22,246.1925875464835,301.4340294511891,319.3083290026915,318.9096797214856
2015-05-25,246.25624071575962,301.168199453198,319.2266973602052,318.6663241922773
2015-05-26,243.19974897538393,296.72682951936275,315.8660571075818,314.5509966314652
2015-05-27,244.7702926824988,297.23946303271856,316.6715570171969,315.3982508372811
2015-05-28,244.53228617749636,296.22928167434395,315.50645778833643,314.45944837979744
2015-05-29,242.93895557551602,295.0742320507319,314.0231773020686,313.1463508498881
2015-06-01,242.80190358223828,294.4427563404457,314.92722390476234,312.8530422492668
2015-06-02,243.32501609196302,295.8852511109993,314.54227091835264,313.18975800133285
2015-06-03,244.32547719665533,294.8311735735272,312.6068165096187,311.9006160589676
2015-06-04,242.4239356007453,291.52518518639863,310.222311488378,308.82333320553016
2015-06-05,240.37524967731116,289.3295276713338,307.3484157075809,306.3452045084896
2015-06-08,239.27911158377668,287.7278595917798,305.4240436887218,304.9859711801612
2015-06-09,239.1672256471102,287.6743977159514,304.7732778270254,304.6460841557739
2015-06-10,242.5372239970175,291.1717997226108,306.5582893362865,307.824540204986
2015-06-11,242.98419116990004,291.3775651728115,308.170536039933,308.7636543595869
2015-06-12,241.7437406994741,289.2662555167087,306.93230630312945,306.5612559571687
2015-06-15,239.95420730606318,287.38587410906445,305.266622098398,304.8277201197695
2015-06-16,240.75237295654168,288.07932523947113,305.9981240365516,305.82986844356674
2015-06-17,240.56642260260796,288.37500854099875,306.16417775613434,306.80620322950114
2015-06-18,243.0892004927613,291.30008266997027,309.33986981663134,309.94652073509934
2015-06-19,242.3591405136292,289.75593476129546,308.483624774277,308.5001771555441
2015-06-22,245.24419768434788,292.93658211095607,311.9770921496903,310.83243166305186
2015-06-23,245.32224795308252,292.221391189283,310.9856737147597,309.6137454664924
2015-06-24,243.9710113806761,291.1060805556842,308.48768301284287,308.13431245291594
2015-06-25,243.38855484375384,289.1669964669078,306.82568906180614,306.3515894991754
2015-06-26,242.7247803928088,287.75776794345245,306.1583661853221,305.1166201197563
2015-06-29,237.49633140220647,282.4804028806146,301.4613097538567,299.93642037332376
2015-06-30,237.31047792911326,281.87163348298435,302.0217696535092,299.48343367204586
2015-07-01,238.94367949431611,281.7133931533764,303.46660743446864,299.7979318798054
2015-07-02,238.97474278585702,283.236238772907,304.6943458873798,301.7236585869973
2015-07-03,238.5904125355026,282.2862646433745,304.27903306286595,300.78356900131683
2015-07-06,236.42963311494913,278.78934229749126,301.67303018424326,297.8933321954693
2015-07-07,235.84746268494175,278.030842054219,303.51936854083,297.9990304621813
2015-07-08,233.32370039896395,275.81753404372853,300.09303920530243,295.99490253128675
2015-07-09,234.78826110616365,277.3774922442591,301.260836614927,296.9618818099152
2015-07-10,238.21601845198998,280.5744839391711,304.5920100749736,300.6522596395452
2015-07-13,240.33368501083618,281.55280720476605,306.26208118280346,301.1765988377767
2015-07-14,241.72161774018875,283.2478636182739,307.6326756258975,302.9233558719789
2015-07-15,241.59128622822587,282.47253489550764,307.91774461369,302.59451549873665
2015-07-16,243.45947352423815,283.662621844236,310.1403189599632,304.0433150753263
2015-07-17,243.31131852866864,281.7115384300387,309.51708601112193,302.42771895391434
2015-07-20,243.45823079927646,279.9408617713128,308.9559606335031,301.5235647041776
2015-07-21,242.94769825322976,279.9766961994591,308.5523699765551,301.06830519465314
2015-07-22,241.40594245384037,277.5644372023877,307.28961245324064,299.2484237742622
2015-07-23,240.87801393757442,275.65699236908995,305.5082625611822,297.070966152708
2015-07-24,238.53018640282954,273.0973689851816,305.0342490834248,295.1423666917205
2015-07-27,236.9304142962401,271.3811989560951,304.2073934003175,294.0364014549096
2015-07-28,238.73061851832546,274.30688953674377,305.6479963014852,297.0946427584023
2015-07-29,240.60747151795096,277.0887832058043,307.71039315010233,299.9992421097311
2015-07-30,240.43728335763217,277.20362483414925,306.8231142603772,300.6381114336096
2015-07-31,241.2409899941385,277.2719074399633,309.2270954214595,300.0370263264839
2015-08-03,240.62578614699893,275.00602622029066,308.22876300775687,298.3438100180794
2015-08-04,240.3617507880187,274.63765410834884,308.41171616646034,297.44713056494686
2015-08-05,240.87357031578208,274.484607690934,307.48296156341854,297.23604979444974
2015-08-06,239.65490154833722,274.96108020251853,307.1928288153127,297.5117104328041
2015-08-07,238.96363785310254,274.4804477403746,307.7196908490217,297.34263456266035
2015-08-10,241.55770023093356,277.43182852775743,309.3238497719335,299.65883415392585
2015-08-11,239.26680554133287,275.75488119728044,308.22428574479727,298.7061482043942
2015-08-12,238.27672816035238,277.22050575267644,308.8869987148333,300.3370632418307
2015-08-13,238.31839517158275,276.10846159524147,309.3504410178851,299.4799110031248
2015-08-14,238.654265713519,276.0184868220265,310.5926139928831,299.67792510413904
2015-08-17,239.30856686046045,276.29537713978647,311.6379276069335,300.0122126311136
2015-08-18,238.68681146854982,274.81270023297253,310.2904518028968,298.34803925446624
2015-08-19,236.2340074753656,271.0141422534939,308.0550239150351,295.1385568489798
2015-08-20,232.37730390348148,268.5276613177913,304.9035962775426,291.97469779758245
2015-08-21,226.1153402705987,262.77211362032,299.4193943082917,285.94818291417363
2015-08-24,217.73971481260102,250.3804614993583,287.3090120379817,272.99320276481683
2015-08-25,216.98574859809807,248.81642473886623,283.09946147253555,270.97729815757174
2015-08-26,221.4597510786206,251.42346718826408,287.469456322526,274.3623837962115
2015-08-27,226.05038209492832,258.9318849060184,293.19311055679475,281.74273731231045
2015-08-28,227.23752923687425,261.93231126709463,294.646809713467,284.0454870266124
2015-08-31,225.54137937176114,260.48730442665976,291.57422487039764,282.2096059465966
2015-09-01,219.50566963160728,253.38540597959187,285.0777281156067,275.1533673037535
2015-09-02,221.4572859447621,253.49187958773012,285.71233135090534,275.6748712488328
2015-09-03,222.42296054669944,254.8720646676341,286.5509578786558,277.1118509226315
2015-09-04,218.74006939401465,250.22110108998672,283.0264418221701,272.41104736825093
2015-09-07,219.0989130042192,250.5120302653184,283.0043323498344,272.5443165255398
2015-09-08,222.87948220697785,254.40610941401624,286.87963309906354,277.15451257390674
2015-09-09,223.3167207176021,255.15360307128984,289.1918226579345,277.135105185164
2015-09-10,222.9514748595633,253.94436103242364,287.8165169875686,275.86160648024145
2015-09-11,223.19080512780673,253.44351915291583,288.1976651347278,275.6795767756944
2015-09-14,222.3092542787075,252.8640021332973,288.03273209775784,275.33187915398935
2015-09-15,224.10940317483033,253.91206189679383,288.9726696136748,276.8569568574369
2015-09-16,226.88236148195233,258.9771123497075,292.44608084321726,282.0237739547581
2015-09-17,226.83359510834921,259.756199378434,293.4697758271575,282.9966163295777
2015-09-18,223.88358037696253,256.58342581132587,292.4081706986689,280.02740056237747
2015-09-21,223.55220651364016,255.85151052635413,292.10517303566763,280.0960987283184
2015-09-22,219.83485464987842,251.44098697286825,289.12255331827373,275.7390647468161
2015-09-23,219.17984828234455,249.651750652044,288.99054230526747,274.52216919866254
2015-09-24,217.92743147356697,249.02922688447515,289.1057993342522,273.98953109058994
2015-09-25,218.90640751890604,251.1435906317116,292.5085699077786,276.7323358406752
2015-09-28,214.54861243261902,246.67925991344757,291.08446575501824,272.91096232991544
2015-09-29,213.1701266280005,245.97214779204955,289.3339484833712,272.5624175659383
2015-09-30,217.4894282868085,250.5652463892436,293.34526176045483,277.5955977740041
2015-10-01,218.40410856355248,251.9796004340252,294.53612451008166,278.62361602035656
2015-10-02,220.9541076182526,256.5590887887344,296.99182679136953,283.2544208485052
2015-10-05,225.07071316082607,262.95035332937493,301.32979615780755,289.56830338190184
2015-10-06,225.62202825015066,265.99229691926723,301.60000344990186,292.1486467040376
2015-10-07,227.42418523532643,270.03821846876065,302.4829227093238,295.729521112192
2015-10-08,228.79264735945165,272.68721380573163,304.06491572535487,298.6303963448346
2015-10-09,230.176721876175,274.25328492208286,305.4541274558757,299.35199307664334
2015-10-12,230.3218404284884,273.4722193273616,306.7257240084664,298.97715035354685
2015-10-13,228.52963596459034,271.03277529485854,305.4411696673188,296.8026378202619
2015-10-14,227.43488839063585,271.5538778267341,304.3785378591746,296.9681599916461
2015-10-15,230.63889031445345,274.6636744559528,308.44968684177337,300.51070751399567
2015-10-16,231.67842302077406,275.5143096771638,309.9625838840035,301.8014292717459
2015-10-19,231.22463278239977,273.2102198911388,310.5128339994848,300.2557371481992
2015-10-20,230.8958101986813,273.3711450543146,310.14350570059764,300.4826420763064
2015-10-21,230.34955527410074,272.6958291419025,310.86347500014534,300.13647679613484
2015-10-22,232.53056407035697,274.8533775580628,312.3779397954506,303.21441810735524
2015-10-23,234.9328938557728,274.09383206080645,311.26393691063026,301.6230972714456
2015-10-26,234.70286405842643,271.8180451394917,311.4909599800416,299.4489680240821
2015-10-27,233.50767094463689,268.8015979817324,310.82220661550406,296.61505176035627
2015-10-28,235.90304460910002,271.0059825351229,310.6311592235289,298.65154378910086
2015-10-29,234.836000869335,269.0961664005159,308.31961517311726,297.06848940655175
2015-10-30,234.82854889312017,269.8722098620542,309.549046952762,297.2769920157877
2015-11-02,236.04612735007314,271.2335617466705,309.5958807891059,299.6948315359421
2015-11-03,236.37964683058726,273.5132032767454,308.14874070561694,301.81715374074344
2015-11-04,235.95831884225407,272.6568406359199,307.0808740795168,300.746936727741
2015-11-05,235.58035130158302,270.44454876261324,307.0770725985202,298.3857246255487
2015-11-06,234.71050733207977,265.98448236555697,300.4035282345012,292.9695965919396
2015-11-09,232.9832730560127,263.6384136805679,298.3410280087904,290.2704684299393
2015-11-10,232.82778206419678,263.1108594956147,298.7904109644978,290.6390371277649
2015-11-11,233.08083920762576,262.20518318147936,300.7387937610885,290.2647385412088
2015-11-12,230.40785683923463,258.73225077402884,299.715549891127,286.6518361342213
2015-11-13,228.05400834673313,256.7864943166642,297.3460097247973,284.1377881975613
2015-11-16,229.71275339627326,259.6229992948428,298.84342553021554,287.86898730750903
2015-11-17,230.9996682657159,260.3053461765423,299.6550600455739,288.71645217924095
2015-11-18,233.05583133048117,262.2801764602764,300.8023264272616,291.0546076665315
2015-11-19,234.442603304128,264.1340577376408,304.2945109522419,293.2635164548977
2015-11-20,234.7829019505898,263.24948629107496,305.44890822734834,292.7406946111708
2015-11-23,234.0350262446493,262.0381339144996,303.758244978272,291.3494101493328
2015-11-24,233.8325506061175,262.93683236567495,302.353037626079,291.9754692680003
2015-11-25,234.1450635574396,262.3457381982366,302.1317504179202,291.53679137818494
2015-11-26,235.01158047183552,263.50124647202875,303.02957089439553,292.30316806549985
2015-11-27,234.51732219161195,261.7081963834726,302.9885255091501,291.3644584146655
2015-11-30,233.63712645942238,261.2719467799316,301.0321594244368,290.85552254888
2015-12-01,235.87920131755433,263.7555822018066,304.9964305873639,293.37596292344944
2015-12-02,233.98687727483917,259.7341293596986,301.38044130379336,288.96098961575854
2015-12-03,231.58021762965083,256.76941666162696,299.3635936216933,285.07446760206784
2015-12-04,233.739744057296,256.20827085587234,301.19487801219066,285.13640699903766
2015-12-07,232.62812029794173,252.0792724249454,301.58707506753024,281.4134196124269
2015-12-08,230.39605246166641,248.94371376411237,300.42934771480304,278.2590344109672
2015-12-09,229.57830066573365,250.83341203341348,300.27025506659896,280.1402759272854
2015-12-10,229.52092286275396,250.5781364456222,298.20384065804177,279.32476761652464
2015-12-11,226.07701797557854,246.68871922465817,297.3220731353041,275.7430113949956
2015-12-14,225.2860614622231,245.28820358411755,296.9039653908888,275.4206518416242
2015-12-15,227.18642043063414,248.10247824142544,297.63259624867044,279.4326918566278
2015-12-16,230.27480316768256,250.61270503366987,302.4819422967715,282.739230247932
2015-12-17,228.51242420374757,248.3982327092945,303.3032341365085,280.3376358534139
